Date,Direction
2020-04-24,Outgoing
2020-04-23,Outgoing
2020-04-23,Incoming
2020-04-23,Outgoing
2020-04-23,Incoming
2020-04-23,Incoming
2020-04-23,Outgoing
2020-04-23,Outgoing
2020-04-23,Incoming
2020-04-23,Outgoing
2020-04-23,Outgoing
2020-04-23,Incoming
2020-04-23,Outgoing
2020-04-23,Incoming
2020-04-23,Outgoing
2020-04-23,Incoming
2020-04-23,Outgoing
2020-04-23,Incoming
2020-04-23,Outgoing
2020-04-23,Outgoing
2020-04-23,Incoming
2020-04-23,Incoming
2020-04-23,Incoming
2020-04-23,Incoming
2020-04-23,Incoming
2020-04-23,Incoming
2020-04-23,Incoming
2020-04-23,Incoming
2020-04-23,Incoming
2020-04-23,Incoming
2020-04-23,Incoming
2020-04-22,Incoming
2020-04-22,Incoming
2020-04-22,Incoming
2020-04-22,Outgoing
2020-04-22,Outgoing
2020-04-22,Outgoing
2020-04-22,Outgoing
2020-04-22,Incoming
2020-04-22,Incoming
2020-04-22,Outgoing
2020-04-22,Outgoing
2020-04-22,Incoming
2020-04-22,Incoming
2020-04-22,Outgoing
2020-04-22,Outgoing
2020-04-22,Incoming
2020-04-22,Outgoing
2020-04-22,Incoming
2020-04-22,Outgoing
2020-04-22,Incoming
2020-04-22,Incoming
2020-04-22,Outgoing
2020-04-22,Outgoing
2020-04-22,Incoming
2020-04-21,Outgoing
2020-04-21,Outgoing
2020-04-21,Outgoing
2020-04-21,Incoming
2020-04-21,Outgoing
2020-04-21,Outgoing
2020-04-21,Outgoing
2020-04-21,Incoming
2020-04-21,Outgoing
2020-04-21,Incoming
2020-04-21,Incoming
2020-04-21,Outgoing
2020-04-21,Outgoing
2020-04-21,Outgoing
2020-04-21,Incoming
2020-04-21,Incoming
2020-04-21,Outgoing
2020-04-21,Outgoing
2020-04-21,Incoming
2020-04-21,Outgoing
2020-04-21,Incoming
2020-04-21,Incoming
2020-04-21,Outgoing
2020-04-21,Outgoing
2020-04-21,Outgoing
2020-04-21,Incoming
2020-04-21,Incoming
2020-04-21,Outgoing
2020-04-21,Outgoing
2020-04-21,Incoming
2020-04-21,Outgoing
2020-04-21,Incoming
2020-04-21,Incoming
2020-04-21,Outgoing
2020-04-21,Outgoing
2020-04-21,Incoming
2020-04-21,Outgoing
2020-04-21,Incoming
2020-04-21,Outgoing
2020-04-20,Outgoing
2020-04-20,Incoming
2020-04-20,Outgoing
2020-04-20,Incoming
2020-04-20,Outgoing
2020-04-20,Incoming
2020-04-20,Outgoing
2020-04-20,Outgoing
2020-04-20,Incoming
2020-04-20,Outgoing
2020-04-20,Outgoing
2020-04-20,Incoming
2020-04-20,Outgoing
2020-04-20,Incoming
2020-04-20,Outgoing
2020-04-20,Incoming
2020-04-20,Outgoing
2020-04-20,Incoming
2020-04-20,Incoming
2020-04-20,Incoming
2020-04-20,Incoming
2020-04-19,Outgoing
2020-04-19,Incoming
2020-04-19,Incoming
2020-04-19,Outgoing
2020-04-19,Outgoing
2020-04-19,Outgoing
2020-04-19,Incoming
2020-04-19,Outgoing
2020-04-19,Outgoing
2020-04-19,Outgoing
2020-04-19,Incoming
2020-04-19,Outgoing
2020-04-19,Incoming
2020-04-19,Incoming
2020-04-19,Outgoing
2020-04-19,Outgoing
